path	k	max.multirute.flow	iterations	k.0	n	neighbour	p	ex	k.5
9126	Small.50.6.5.77.gexf	2	4	1	Small	50	6	5	77	gexf
9127	Small.50.6.5.77.gexf	3	4	1	Small	50	6	5	77	gexf
9131	Small.50.10.2.77.gexf	2	7	1	Small	50	10	2	77	gexf
9132	Small.50.10.2.77.gexf	3	7	1	Small	50	10	2	77	gexf
9133	Small.50.10.2.77.gexf	5	7	1	Small	50	10	2	77	gexf
9136	Small.50.10.5.77.gexf	2	11	1	Small	50	10	5	77	gexf
9137	Small.50.10.5.77.gexf	3	11	1	Small	50	10	5	77	gexf
9138	Small.50.10.5.77.gexf	5	11	1	Small	50	10	5	77	gexf
9139	Small.50.10.5.77.gexf	10	11	1	Small	50	10	5	77	gexf
9141	Small.50.24.2.77.gexf	2	22	1	Small	50	24	2	77	gexf
9142	Small.50.24.2.77.gexf	3	22	1	Small	50	24	2	77	gexf
9143	Small.50.24.2.77.gexf	5	22	1	Small	50	24	2	77	gexf
9144	Small.50.24.2.77.gexf	10	22	1	Small	50	24	2	77	gexf
9146	Small.50.24.5.77.gexf	2	26	1	Small	50	24	5	77	gexf
9147	Small.50.24.5.77.gexf	3	26	1	Small	50	24	5	77	gexf
9148	Small.50.24.5.77.gexf	5	26	1	Small	50	24	5	77	gexf
9149	Small.50.24.5.77.gexf	10	26	1	Small	50	24	5	77	gexf
9151	Small.100.6.2.77.gexf	2	6	1	Small	100	6	2	77	gexf
9152	Small.100.6.2.77.gexf	3	6	1	Small	100	6	2	77	gexf
9153	Small.100.6.2.77.gexf	5	6	1	Small	100	6	2	77	gexf
9156	Small.100.6.5.77.gexf	2	5	1	Small	100	6	5	77	gexf
9157	Small.100.6.5.77.gexf	3	5	1	Small	100	6	5	77	gexf
9161	Small.100.10.2.77.gexf	2	10	1	Small	100	10	2	77	gexf
9162	Small.100.10.2.77.gexf	3	10	1	Small	100	10	2	77	gexf
9163	Small.100.10.2.77.gexf	5	10	1	Small	100	10	2	77	gexf
9166	Small.100.10.5.77.gexf	2	9	1	Small	100	10	5	77	gexf
9167	Small.100.10.5.77.gexf	3	9	1	Small	100	10	5	77	gexf
9168	Small.100.10.5.77.gexf	5	9	1	Small	100	10	5	77	gexf
9171	Small.100.24.2.77.gexf	2	22	1	Small	100	24	2	77	gexf
9172	Small.100.24.2.77.gexf	3	22	1	Small	100	24	2	77	gexf
9173	Small.100.24.2.77.gexf	5	22	1	Small	100	24	2	77	gexf
9174	Small.100.24.2.77.gexf	10	22	1	Small	100	24	2	77	gexf
9176	Small.100.24.5.77.gexf	2	24	1	Small	100	24	5	77	gexf
9177	Small.100.24.5.77.gexf	3	24	1	Small	100	24	5	77	gexf
9178	Small.100.24.5.77.gexf	5	24	1	Small	100	24	5	77	gexf
9179	Small.100.24.5.77.gexf	10	24	1	Small	100	24	5	77	gexf
9181	Small.500.6.2.77.gexf	2	6	1	Small	500	6	2	77	gexf
9182	Small.500.6.2.77.gexf	3	6	1	Small	500	6	2	77	gexf
9183	Small.500.6.2.77.gexf	5	6	1	Small	500	6	2	77	gexf
9186	Small.500.6.5.77.gexf	2	5	1	Small	500	6	5	77	gexf
9187	Small.500.6.5.77.gexf	3	5	1	Small	500	6	5	77	gexf
9191	Small.500.10.2.77.gexf	2	9	1	Small	500	10	2	77	gexf
9192	Small.500.10.2.77.gexf	3	9	1	Small	500	10	2	77	gexf
9193	Small.500.10.2.77.gexf	5	9	1	Small	500	10	2	77	gexf
9196	Small.500.10.5.77.gexf	2	8	1	Small	500	10	5	77	gexf
9197	Small.500.10.5.77.gexf	3	8	1	Small	500	10	5	77	gexf
9198	Small.500.10.5.77.gexf	5	8	1	Small	500	10	5	77	gexf
9201	Small.500.24.2.77.gexf	2	23	1	Small	500	24	2	77	gexf
9202	Small.500.24.2.77.gexf	3	23	1	Small	500	24	2	77	gexf
9203	Small.500.24.2.77.gexf	5	23	1	Small	500	24	2	77	gexf
9204	Small.500.24.2.77.gexf	10	23	1	Small	500	24	2	77	gexf
9206	Small.500.24.5.77.gexf	2	26	1	Small	500	24	5	77	gexf
9207	Small.500.24.5.77.gexf	3	26	1	Small	500	24	5	77	gexf
9208	Small.500.24.5.77.gexf	5	26	1	Small	500	24	5	77	gexf
9209	Small.500.24.5.77.gexf	10	26	1	Small	500	24	5	77	gexf
9211	Small.1000.6.2.77.gexf	2	4	1	Small	1000	6	2	77	gexf
9212	Small.1000.6.2.77.gexf	3	4	1	Small	1000	6	2	77	gexf
9216	Small.1000.6.5.77.gexf	2	5	1	Small	1000	6	5	77	gexf
9217	Small.1000.6.5.77.gexf	3	5	1	Small	1000	6	5	77	gexf
9221	Small.1000.10.2.77.gexf	2	8	1	Small	1000	10	2	77	gexf
9222	Small.1000.10.2.77.gexf	3	8	1	Small	1000	10	2	77	gexf
9223	Small.1000.10.2.77.gexf	5	8	1	Small	1000	10	2	77	gexf
9226	Small.1000.10.5.77.gexf	2	10	1	Small	1000	10	5	77	gexf
9227	Small.1000.10.5.77.gexf	3	10	1	Small	1000	10	5	77	gexf
9228	Small.1000.10.5.77.gexf	5	10	1	Small	1000	10	5	77	gexf
9231	Small.1000.24.2.77.gexf	2	22	1	Small	1000	24	2	77	gexf
9232	Small.1000.24.2.77.gexf	3	22	1	Small	1000	24	2	77	gexf
9233	Small.1000.24.2.77.gexf	5	22	1	Small	1000	24	2	77	gexf
9234	Small.1000.24.2.77.gexf	10	22	1	Small	1000	24	2	77	gexf
9236	Small.1000.24.5.77.gexf	2	17	1	Small	1000	24	5	77	gexf
9237	Small.1000.24.5.77.gexf	3	17	1	Small	1000	24	5	77	gexf
9238	Small.1000.24.5.77.gexf	5	17	1	Small	1000	24	5	77	gexf
9239	Small.1000.24.5.77.gexf	10	17	1	Small	1000	24	5	77	gexf
9241	Small.50.6.2.78.gexf	2	5	1	Small	50	6	2	78	gexf
9242	Small.50.6.2.78.gexf	3	5	1	Small	50	6	2	78	gexf
9246	Small.50.6.5.78.gexf	2	6	1	Small	50	6	5	78	gexf
9247	Small.50.6.5.78.gexf	3	6	1	Small	50	6	5	78	gexf
9248	Small.50.6.5.78.gexf	5	6	1	Small	50	6	5	78	gexf
9251	Small.50.10.2.78.gexf	2	10	1	Small	50	10	2	78	gexf
9252	Small.50.10.2.78.gexf	3	10	1	Small	50	10	2	78	gexf
9253	Small.50.10.2.78.gexf	5	10	1	Small	50	10	2	78	gexf
9256	Small.50.10.5.78.gexf	2	11	1	Small	50	10	5	78	gexf
9257	Small.50.10.5.78.gexf	3	11	1	Small	50	10	5	78	gexf
9258	Small.50.10.5.78.gexf	5	11	1	Small	50	10	5	78	gexf
9259	Small.50.10.5.78.gexf	10	11	1	Small	50	10	5	78	gexf
9261	Small.50.24.2.78.gexf	2	24	1	Small	50	24	2	78	gexf
9262	Small.50.24.2.78.gexf	3	24	1	Small	50	24	2	78	gexf
9263	Small.50.24.2.78.gexf	5	24	1	Small	50	24	2	78	gexf
9264	Small.50.24.2.78.gexf	10	24	1	Small	50	24	2	78	gexf
9266	Small.50.24.5.78.gexf	2	22	1	Small	50	24	5	78	gexf
9267	Small.50.24.5.78.gexf	3	22	1	Small	50	24	5	78	gexf
9268	Small.50.24.5.78.gexf	5	22	1	Small	50	24	5	78	gexf
9269	Small.50.24.5.78.gexf	10	22	1	Small	50	24	5	78	gexf
9271	Small.100.6.2.78.gexf	2	6	1	Small	100	6	2	78	gexf
9272	Small.100.6.2.78.gexf	3	6	1	Small	100	6	2	78	gexf
9273	Small.100.6.2.78.gexf	5	6	1	Small	100	6	2	78	gexf
9276	Small.100.6.5.78.gexf	2	6	1	Small	100	6	5	78	gexf
9277	Small.100.6.5.78.gexf	3	6	1	Small	100	6	5	78	gexf
9278	Small.100.6.5.78.gexf	5	6	1	Small	100	6	5	78	gexf
9281	Small.100.10.2.78.gexf	2	9	1	Small	100	10	2	78	gexf
9282	Small.100.10.2.78.gexf	3	9	1	Small	100	10	2	78	gexf
9283	Small.100.10.2.78.gexf	5	9	1	Small	100	10	2	78	gexf
9286	Small.100.10.5.78.gexf	2	9	1	Small	100	10	5	78	gexf
9287	Small.100.10.5.78.gexf	3	9	1	Small	100	10	5	78	gexf
9288	Small.100.10.5.78.gexf	5	9	1	Small	100	10	5	78	gexf
9291	Small.100.24.2.78.gexf	2	23	1	Small	100	24	2	78	gexf
9292	Small.100.24.2.78.gexf	3	23	1	Small	100	24	2	78	gexf
9293	Small.100.24.2.78.gexf	5	23	1	Small	100	24	2	78	gexf
9294	Small.100.24.2.78.gexf	10	23	1	Small	100	24	2	78	gexf
9296	Small.100.24.5.78.gexf	2	19	1	Small	100	24	5	78	gexf
9297	Small.100.24.5.78.gexf	3	19	1	Small	100	24	5	78	gexf
9298	Small.100.24.5.78.gexf	5	19	1	Small	100	24	5	78	gexf
9299	Small.100.24.5.78.gexf	10	19	1	Small	100	24	5	78	gexf
9301	Small.500.6.2.78.gexf	2	5	1	Small	500	6	2	78	gexf
9302	Small.500.6.2.78.gexf	3	5	1	Small	500	6	2	78	gexf
9306	Small.500.6.5.78.gexf	2	6	1	Small	500	6	5	78	gexf
9307	Small.500.6.5.78.gexf	3	6	1	Small	500	6	5	78	gexf
9308	Small.500.6.5.78.gexf	5	6	1	Small	500	6	5	78	gexf
9311	Small.500.10.2.78.gexf	2	10	1	Small	500	10	2	78	gexf
9312	Small.500.10.2.78.gexf	3	10	1	Small	500	10	2	78	gexf
9313	Small.500.10.2.78.gexf	5	10	1	Small	500	10	2	78	gexf
9316	Small.500.10.5.78.gexf	2	7	1	Small	500	10	5	78	gexf
9317	Small.500.10.5.78.gexf	3	7	1	Small	500	10	5	78	gexf
9318	Small.500.10.5.78.gexf	5	7	1	Small	500	10	5	78	gexf
9321	Small.500.24.2.78.gexf	2	24	1	Small	500	24	2	78	gexf
9322	Small.500.24.2.78.gexf	3	24	1	Small	500	24	2	78	gexf
9323	Small.500.24.2.78.gexf	5	24	1	Small	500	24	2	78	gexf
9324	Small.500.24.2.78.gexf	10	24	1	Small	500	24	2	78	gexf
9326	Small.500.24.5.78.gexf	2	26	1	Small	500	24	5	78	gexf
9327	Small.500.24.5.78.gexf	3	26	1	Small	500	24	5	78	gexf
9328	Small.500.24.5.78.gexf	5	26	1	Small	500	24	5	78	gexf
9329	Small.500.24.5.78.gexf	10	26	1	Small	500	24	5	78	gexf
9331	Small.1000.6.2.78.gexf	2	6	1	Small	1000	6	2	78	gexf
9332	Small.1000.6.2.78.gexf	3	6	1	Small	1000	6	2	78	gexf
9333	Small.1000.6.2.78.gexf	5	6	1	Small	1000	6	2	78	gexf
9336	Small.1000.6.5.78.gexf	2	6	1	Small	1000	6	5	78	gexf
9337	Small.1000.6.5.78.gexf	3	6	1	Small	1000	6	5	78	gexf
9338	Small.1000.6.5.78.gexf	5	6	1	Small	1000	6	5	78	gexf
9341	Small.1000.10.2.78.gexf	2	10	1	Small	1000	10	2	78	gexf
9342	Small.1000.10.2.78.gexf	3	10	1	Small	1000	10	2	78	gexf
9343	Small.1000.10.2.78.gexf	5	10	1	Small	1000	10	2	78	gexf
9346	Small.1000.10.5.78.gexf	2	7	1	Small	1000	10	5	78	gexf
9347	Small.1000.10.5.78.gexf	3	7	1	Small	1000	10	5	78	gexf
9348	Small.1000.10.5.78.gexf	5	7	1	Small	1000	10	5	78	gexf
9351	Small.1000.24.2.78.gexf	2	25	1	Small	1000	24	2	78	gexf
9352	Small.1000.24.2.78.gexf	3	25	1	Small	1000	24	2	78	gexf
9353	Small.1000.24.2.78.gexf	5	25	1	Small	1000	24	2	78	gexf
9354	Small.1000.24.2.78.gexf	10	25	2	Small	1000	24	2	78	gexf
9356	Small.1000.24.5.78.gexf	2	22	1	Small	1000	24	5	78	gexf
9357	Small.1000.24.5.78.gexf	3	22	1	Small	1000	24	5	78	gexf
9358	Small.1000.24.5.78.gexf	5	22	1	Small	1000	24	5	78	gexf
9359	Small.1000.24.5.78.gexf	10	22	1	Small	1000	24	5	78	gexf
9361	Small.50.6.2.79.gexf	2	6	1	Small	50	6	2	79	gexf
9362	Small.50.6.2.79.gexf	3	6	1	Small	50	6	2	79	gexf
9363	Small.50.6.2.79.gexf	5	6	1	Small	50	6	2	79	gexf
9366	Small.50.6.5.79.gexf	2	4	1	Small	50	6	5	79	gexf
9367	Small.50.6.5.79.gexf	3	4	1	Small	50	6	5	79	gexf
9371	Small.50.10.2.79.gexf	2	11	1	Small	50	10	2	79	gexf
9372	Small.50.10.2.79.gexf	3	11	1	Small	50	10	2	79	gexf
9373	Small.50.10.2.79.gexf	5	11	1	Small	50	10	2	79	gexf
9374	Small.50.10.2.79.gexf	10	11	1	Small	50	10	2	79	gexf
9376	Small.50.10.5.79.gexf	2	10	1	Small	50	10	5	79	gexf
9377	Small.50.10.5.79.gexf	3	10	1	Small	50	10	5	79	gexf
9378	Small.50.10.5.79.gexf	5	10	1	Small	50	10	5	79	gexf
9381	Small.50.24.2.79.gexf	2	23	1	Small	50	24	2	79	gexf
9382	Small.50.24.2.79.gexf	3	23	1	Small	50	24	2	79	gexf
9383	Small.50.24.2.79.gexf	5	23	1	Small	50	24	2	79	gexf
9384	Small.50.24.2.79.gexf	10	23	1	Small	50	24	2	79	gexf
9386	Small.50.24.5.79.gexf	2	25	1	Small	50	24	5	79	gexf
9387	Small.50.24.5.79.gexf	3	25	1	Small	50	24	5	79	gexf
9388	Small.50.24.5.79.gexf	5	25	1	Small	50	24	5	79	gexf
9389	Small.50.24.5.79.gexf	10	25	2	Small	50	24	5	79	gexf
9391	Small.100.6.2.79.gexf	2	5	1	Small	100	6	2	79	gexf
9392	Small.100.6.2.79.gexf	3	5	1	Small	100	6	2	79	gexf
9396	Small.100.6.5.79.gexf	2	4	1	Small	100	6	5	79	gexf
9397	Small.100.6.5.79.gexf	3	4	1	Small	100	6	5	79	gexf
9401	Small.100.10.2.79.gexf	2	9	1	Small	100	10	2	79	gexf
9402	Small.100.10.2.79.gexf	3	9	1	Small	100	10	2	79	gexf
9403	Small.100.10.2.79.gexf	5	9	1	Small	100	10	2	79	gexf
9406	Small.100.10.5.79.gexf	2	7	1	Small	100	10	5	79	gexf
9407	Small.100.10.5.79.gexf	3	7	1	Small	100	10	5	79	gexf
9408	Small.100.10.5.79.gexf	5	7	1	Small	100	10	5	79	gexf
9411	Small.100.24.2.79.gexf	2	22	1	Small	100	24	2	79	gexf
9412	Small.100.24.2.79.gexf	3	22	1	Small	100	24	2	79	gexf
9413	Small.100.24.2.79.gexf	5	22	1	Small	100	24	2	79	gexf
9414	Small.100.24.2.79.gexf	10	22	1	Small	100	24	2	79	gexf
9416	Small.100.24.5.79.gexf	2	20	1	Small	100	24	5	79	gexf
9417	Small.100.24.5.79.gexf	3	20	1	Small	100	24	5	79	gexf
9418	Small.100.24.5.79.gexf	5	20	1	Small	100	24	5	79	gexf
9419	Small.100.24.5.79.gexf	10	20	1	Small	100	24	5	79	gexf
9421	Small.500.6.2.79.gexf	2	5	1	Small	500	6	2	79	gexf
9422	Small.500.6.2.79.gexf	3	5	1	Small	500	6	2	79	gexf
9426	Small.500.6.5.79.gexf	2	6	1	Small	500	6	5	79	gexf
9427	Small.500.6.5.79.gexf	3	6	1	Small	500	6	5	79	gexf
9428	Small.500.6.5.79.gexf	5	6	1	Small	500	6	5	79	gexf
9431	Small.500.10.2.79.gexf	2	10	1	Small	500	10	2	79	gexf
9432	Small.500.10.2.79.gexf	3	10	1	Small	500	10	2	79	gexf
9433	Small.500.10.2.79.gexf	5	10	1	Small	500	10	2	79	gexf
9436	Small.500.10.5.79.gexf	2	10	1	Small	500	10	5	79	gexf
9437	Small.500.10.5.79.gexf	3	10	1	Small	500	10	5	79	gexf
9438	Small.500.10.5.79.gexf	5	10	1	Small	500	10	5	79	gexf
9441	Small.500.24.2.79.gexf	2	22	1	Small	500	24	2	79	gexf
9442	Small.500.24.2.79.gexf	3	22	1	Small	500	24	2	79	gexf
9443	Small.500.24.2.79.gexf	5	22	1	Small	500	24	2	79	gexf
9444	Small.500.24.2.79.gexf	10	22	1	Small	500	24	2	79	gexf
9446	Small.500.24.5.79.gexf	2	21	1	Small	500	24	5	79	gexf
9447	Small.500.24.5.79.gexf	3	21	1	Small	500	24	5	79	gexf
9448	Small.500.24.5.79.gexf	5	21	1	Small	500	24	5	79	gexf
9449	Small.500.24.5.79.gexf	10	21	1	Small	500	24	5	79	gexf
9451	Small.1000.6.2.79.gexf	2	4	1	Small	1000	6	2	79	gexf
9452	Small.1000.6.2.79.gexf	3	4	1	Small	1000	6	2	79	gexf
9456	Small.1000.6.5.79.gexf	2	4	1	Small	1000	6	5	79	gexf
9457	Small.1000.6.5.79.gexf	3	4	1	Small	1000	6	5	79	gexf
9461	Small.1000.10.2.79.gexf	2	9	1	Small	1000	10	2	79	gexf
9462	Small.1000.10.2.79.gexf	3	9	1	Small	1000	10	2	79	gexf
9463	Small.1000.10.2.79.gexf	5	9	1	Small	1000	10	2	79	gexf
9466	Small.1000.10.5.79.gexf	2	6	1	Small	1000	10	5	79	gexf
9467	Small.1000.10.5.79.gexf	3	6	1	Small	1000	10	5	79	gexf
9468	Small.1000.10.5.79.gexf	5	6	1	Small	1000	10	5	79	gexf
9471	Small.1000.24.2.79.gexf	2	22	1	Small	1000	24	2	79	gexf
9472	Small.1000.24.2.79.gexf	3	22	1	Small	1000	24	2	79	gexf
9473	Small.1000.24.2.79.gexf	5	22	1	Small	1000	24	2	79	gexf
9474	Small.1000.24.2.79.gexf	10	22	1	Small	1000	24	2	79	gexf
9476	Small.1000.24.5.79.gexf	2	23	1	Small	1000	24	5	79	gexf
9477	Small.1000.24.5.79.gexf	3	23	1	Small	1000	24	5	79	gexf
9478	Small.1000.24.5.79.gexf	5	23	1	Small	1000	24	5	79	gexf
9479	Small.1000.24.5.79.gexf	10	23	1	Small	1000	24	5	79	gexf
9481	Small.50.6.2.80.gexf	2	5	1	Small	50	6	2	80	gexf
9482	Small.50.6.2.80.gexf	3	5	1	Small	50	6	2	80	gexf
9486	Small.50.6.5.80.gexf	2	4	1	Small	50	6	5	80	gexf
9487	Small.50.6.5.80.gexf	3	4	1	Small	50	6	5	80	gexf
9491	Small.50.10.2.80.gexf	2	9	1	Small	50	10	2	80	gexf
9492	Small.50.10.2.80.gexf	3	9	1	Small	50	10	2	80	gexf
9493	Small.50.10.2.80.gexf	5	9	1	Small	50	10	2	80	gexf
9496	Small.50.10.5.80.gexf	2	9	1	Small	50	10	5	80	gexf
9497	Small.50.10.5.80.gexf	3	9	1	Small	50	10	5	80	gexf
9498	Small.50.10.5.80.gexf	5	9	1	Small	50	10	5	80	gexf
9501	Small.50.24.2.80.gexf	2	24	1	Small	50	24	2	80	gexf
9502	Small.50.24.2.80.gexf	3	24	1	Small	50	24	2	80	gexf
9503	Small.50.24.2.80.gexf	5	24	1	Small	50	24	2	80	gexf
9504	Small.50.24.2.80.gexf	10	24	1	Small	50	24	2	80	gexf
9506	Small.50.24.5.80.gexf	2	25	1	Small	50	24	5	80	gexf
9507	Small.50.24.5.80.gexf	3	25	1	Small	50	24	5	80	gexf
9508	Small.50.24.5.80.gexf	5	25	1	Small	50	24	5	80	gexf
9509	Small.50.24.5.80.gexf	10	25	2	Small	50	24	5	80	gexf
9511	Small.100.6.2.80.gexf	2	5	1	Small	100	6	2	80	gexf
9512	Small.100.6.2.80.gexf	3	5	1	Small	100	6	2	80	gexf
9516	Small.100.6.5.80.gexf	2	4	1	Small	100	6	5	80	gexf
9517	Small.100.6.5.80.gexf	3	4	1	Small	100	6	5	80	gexf
9521	Small.100.10.2.80.gexf	2	9	1	Small	100	10	2	80	gexf
9522	Small.100.10.2.80.gexf	3	9	1	Small	100	10	2	80	gexf
9523	Small.100.10.2.80.gexf	5	9	1	Small	100	10	2	80	gexf
9526	Small.100.10.5.80.gexf	2	8	1	Small	100	10	5	80	gexf
9527	Small.100.10.5.80.gexf	3	8	1	Small	100	10	5	80	gexf
9528	Small.100.10.5.80.gexf	5	8	1	Small	100	10	5	80	gexf
9531	Small.100.24.2.80.gexf	2	25	1	Small	100	24	2	80	gexf
9532	Small.100.24.2.80.gexf	3	25	1	Small	100	24	2	80	gexf
9533	Small.100.24.2.80.gexf	5	25	1	Small	100	24	2	80	gexf
9534	Small.100.24.2.80.gexf	10	25	2	Small	100	24	2	80	gexf
9536	Small.100.24.5.80.gexf	2	22	1	Small	100	24	5	80	gexf
9537	Small.100.24.5.80.gexf	3	22	1	Small	100	24	5	80	gexf
9538	Small.100.24.5.80.gexf	5	22	1	Small	100	24	5	80	gexf
9539	Small.100.24.5.80.gexf	10	22	1	Small	100	24	5	80	gexf
9541	Small.500.6.2.80.gexf	2	5	1	Small	500	6	2	80	gexf
9542	Small.500.6.2.80.gexf	3	5	1	Small	500	6	2	80	gexf
9546	Small.500.6.5.80.gexf	2	8	1	Small	500	6	5	80	gexf
9547	Small.500.6.5.80.gexf	3	8	1	Small	500	6	5	80	gexf
9548	Small.500.6.5.80.gexf	5	8	1	Small	500	6	5	80	gexf
9551	Small.500.10.2.80.gexf	2	10	1	Small	500	10	2	80	gexf
9552	Small.500.10.2.80.gexf	3	10	1	Small	500	10	2	80	gexf
9553	Small.500.10.2.80.gexf	5	10	1	Small	500	10	2	80	gexf
9556	Small.500.10.5.80.gexf	2	7	1	Small	500	10	5	80	gexf
9557	Small.500.10.5.80.gexf	3	7	1	Small	500	10	5	80	gexf
9558	Small.500.10.5.80.gexf	5	7	1	Small	500	10	5	80	gexf
9561	Small.500.24.2.80.gexf	2	22	1	Small	500	24	2	80	gexf
9562	Small.500.24.2.80.gexf	3	22	1	Small	500	24	2	80	gexf
9563	Small.500.24.2.80.gexf	5	22	1	Small	500	24	2	80	gexf
9564	Small.500.24.2.80.gexf	10	22	1	Small	500	24	2	80	gexf
9566	Small.500.24.5.80.gexf	2	26	1	Small	500	24	5	80	gexf
9567	Small.500.24.5.80.gexf	3	26	1	Small	500	24	5	80	gexf
9568	Small.500.24.5.80.gexf	5	26	1	Small	500	24	5	80	gexf
9569	Small.500.24.5.80.gexf	10	26	1	Small	500	24	5	80	gexf
9571	Small.1000.6.2.80.gexf	2	6	1	Small	1000	6	2	80	gexf
9572	Small.1000.6.2.80.gexf	3	6	1	Small	1000	6	2	80	gexf
9573	Small.1000.6.2.80.gexf	5	6	1	Small	1000	6	2	80	gexf
9576	Small.1000.6.5.80.gexf	2	7	1	Small	1000	6	5	80	gexf
9577	Small.1000.6.5.80.gexf	3	7	1	Small	1000	6	5	80	gexf
9578	Small.1000.6.5.80.gexf	5	7	1	Small	1000	6	5	80	gexf
9581	Small.1000.10.2.80.gexf	2	9	1	Small	1000	10	2	80	gexf
9582	Small.1000.10.2.80.gexf	3	9	1	Small	1000	10	2	80	gexf
9583	Small.1000.10.2.80.gexf	5	9	1	Small	1000	10	2	80	gexf
9586	Small.1000.10.5.80.gexf	2	10	1	Small	1000	10	5	80	gexf
9587	Small.1000.10.5.80.gexf	3	10	1	Small	1000	10	5	80	gexf
9588	Small.1000.10.5.80.gexf	5	10	1	Small	1000	10	5	80	gexf
9591	Small.1000.24.2.80.gexf	2	25	1	Small	1000	24	2	80	gexf
9592	Small.1000.24.2.80.gexf	3	25	1	Small	1000	24	2	80	gexf
9593	Small.1000.24.2.80.gexf	5	25	1	Small	1000	24	2	80	gexf
9594	Small.1000.24.2.80.gexf	10	25	2	Small	1000	24	2	80	gexf
9596	Small.1000.24.5.80.gexf	2	28	1	Small	1000	24	5	80	gexf
9597	Small.1000.24.5.80.gexf	3	28	1	Small	1000	24	5	80	gexf
9598	Small.1000.24.5.80.gexf	5	28	1	Small	1000	24	5	80	gexf
9599	Small.1000.24.5.80.gexf	10	28	1	Small	1000	24	5	80	gexf
9601	Small.50.6.2.81.gexf	2	6	1	Small	50	6	2	81	gexf
9602	Small.50.6.2.81.gexf	3	6	1	Small	50	6	2	81	gexf
9603	Small.50.6.2.81.gexf	5	6	1	Small	50	6	2	81	gexf
9606	Small.50.6.5.81.gexf	2	4	1	Small	50	6	5	81	gexf
9607	Small.50.6.5.81.gexf	3	4	1	Small	50	6	5	81	gexf
9611	Small.50.10.2.81.gexf	2	8	1	Small	50	10	2	81	gexf
9612	Small.50.10.2.81.gexf	3	8	1	Small	50	10	2	81	gexf
9613	Small.50.10.2.81.gexf	5	8	1	Small	50	10	2	81	gexf
9616	Small.50.10.5.81.gexf	2	7	1	Small	50	10	5	81	gexf
9617	Small.50.10.5.81.gexf	3	7	1	Small	50	10	5	81	gexf
9618	Small.50.10.5.81.gexf	5	7	1	Small	50	10	5	81	gexf
9621	Small.50.24.2.81.gexf	2	23	1	Small	50	24	2	81	gexf
9622	Small.50.24.2.81.gexf	3	23	1	Small	50	24	2	81	gexf
9623	Small.50.24.2.81.gexf	5	23	1	Small	50	24	2	81	gexf
9624	Small.50.24.2.81.gexf	10	23	1	Small	50	24	2	81	gexf
9626	Small.50.24.5.81.gexf	2	24	1	Small	50	24	5	81	gexf
9627	Small.50.24.5.81.gexf	3	24	1	Small	50	24	5	81	gexf
9628	Small.50.24.5.81.gexf	5	24	1	Small	50	24	5	81	gexf
9629	Small.50.24.5.81.gexf	10	24	1	Small	50	24	5	81	gexf
9631	Small.100.6.2.81.gexf	2	6	1	Small	100	6	2	81	gexf
9632	Small.100.6.2.81.gexf	3	6	1	Small	100	6	2	81	gexf
9633	Small.100.6.2.81.gexf	5	6	1	Small	100	6	2	81	gexf
9636	Small.100.6.5.81.gexf	2	5	1	Small	100	6	5	81	gexf
9637	Small.100.6.5.81.gexf	3	5	1	Small	100	6	5	81	gexf
9641	Small.100.10.2.81.gexf	2	10	1	Small	100	10	2	81	gexf
9642	Small.100.10.2.81.gexf	3	10	1	Small	100	10	2	81	gexf
9643	Small.100.10.2.81.gexf	5	10	1	Small	100	10	2	81	gexf
9646	Small.100.10.5.81.gexf	2	10	1	Small	100	10	5	81	gexf
9647	Small.100.10.5.81.gexf	3	10	1	Small	100	10	5	81	gexf
9648	Small.100.10.5.81.gexf	5	10	1	Small	100	10	5	81	gexf
9651	Small.100.24.2.81.gexf	2	20	1	Small	100	24	2	81	gexf
9652	Small.100.24.2.81.gexf	3	20	1	Small	100	24	2	81	gexf
9653	Small.100.24.2.81.gexf	5	20	1	Small	100	24	2	81	gexf
9654	Small.100.24.2.81.gexf	10	20	1	Small	100	24	2	81	gexf
9656	Small.100.24.5.81.gexf	2	24	1	Small	100	24	5	81	gexf
9657	Small.100.24.5.81.gexf	3	24	1	Small	100	24	5	81	gexf
9658	Small.100.24.5.81.gexf	5	24	1	Small	100	24	5	81	gexf
9659	Small.100.24.5.81.gexf	10	24	1	Small	100	24	5	81	gexf
9661	Small.500.6.2.81.gexf	2	4	1	Small	500	6	2	81	gexf
9662	Small.500.6.2.81.gexf	3	4	1	Small	500	6	2	81	gexf
9666	Small.500.6.5.81.gexf	2	5	1	Small	500	6	5	81	gexf
9667	Small.500.6.5.81.gexf	3	5	1	Small	500	6	5	81	gexf
9671	Small.500.10.2.81.gexf	2	9	1	Small	500	10	2	81	gexf
9672	Small.500.10.2.81.gexf	3	9	1	Small	500	10	2	81	gexf
9673	Small.500.10.2.81.gexf	5	9	1	Small	500	10	2	81	gexf
9676	Small.500.10.5.81.gexf	2	10	1	Small	500	10	5	81	gexf
9677	Small.500.10.5.81.gexf	3	10	1	Small	500	10	5	81	gexf
9678	Small.500.10.5.81.gexf	5	10	1	Small	500	10	5	81	gexf
9681	Small.500.24.2.81.gexf	2	21	1	Small	500	24	2	81	gexf
9682	Small.500.24.2.81.gexf	3	21	1	Small	500	24	2	81	gexf
9683	Small.500.24.2.81.gexf	5	21	1	Small	500	24	2	81	gexf
9684	Small.500.24.2.81.gexf	10	21	1	Small	500	24	2	81	gexf
