path,k,max multirute flow,iterations,k:0,k:1,k:2,k:3,k:4
R-MAT.50.10.6.gexf,50,F,F,R-MAT,50,10,6,gexf
R-MAT.50.25.6.gexf,2,73.0,1,R-MAT,50,25,6,gexf
R-MAT.50.25.6.gexf,3,73.0,1,R-MAT,50,25,6,gexf
R-MAT.50.25.6.gexf,5,73.0,1,R-MAT,50,25,6,gexf
R-MAT.50.25.6.gexf,10,62.85714285714285,5,R-MAT,50,25,6,gexf
R-MAT.50.25.6.gexf,50,F,F,R-MAT,50,25,6,gexf
R-MAT.100.5.6.gexf,2,19.0,1,R-MAT,100,5,6,gexf
R-MAT.100.5.6.gexf,3,19.0,1,R-MAT,100,5,6,gexf
R-MAT.100.5.6.gexf,5,19.0,1,R-MAT,100,5,6,gexf
R-MAT.100.5.6.gexf,10,19.0,2,R-MAT,100,5,6,gexf
R-MAT.100.5.6.gexf,50,F,F,R-MAT,100,5,6,gexf
R-MAT.100.10.6.gexf,2,38.0,1,R-MAT,100,10,6,gexf
R-MAT.100.10.6.gexf,3,38.0,1,R-MAT,100,10,6,gexf
R-MAT.100.10.6.gexf,5,37.2,2,R-MAT,100,10,6,gexf
R-MAT.100.10.6.gexf,10,34.1,2,R-MAT,100,10,6,gexf
R-MAT.100.10.6.gexf,50,F,F,R-MAT,100,10,6,gexf
R-MAT.100.25.6.gexf,2,110.0,1,R-MAT,100,25,6,gexf
R-MAT.100.25.6.gexf,3,110.0,1,R-MAT,100,25,6,gexf
R-MAT.100.25.6.gexf,5,110.0,1,R-MAT,100,25,6,gexf
R-MAT.100.25.6.gexf,10,106.33333333333336,4,R-MAT,100,25,6,gexf
R-MAT.100.25.6.gexf,50,F,F,R-MAT,100,25,6,gexf
R-MAT.500.5.6.gexf,2,48.0,1,R-MAT,500,5,6,gexf
R-MAT.500.5.6.gexf,3,48.0,1,R-MAT,500,5,6,gexf
R-MAT.500.5.6.gexf,5,48.0,1,R-MAT,500,5,6,gexf
R-MAT.500.5.6.gexf,10,47.3,2,R-MAT,500,5,6,gexf
R-MAT.500.5.6.gexf,50,F,F,R-MAT,500,5,6,gexf
R-MAT.500.10.6.gexf,2,90.0,1,R-MAT,500,10,6,gexf
R-MAT.500.10.6.gexf,3,90.0,1,R-MAT,500,10,6,gexf
R-MAT.500.10.6.gexf,5,90.0,1,R-MAT,500,10,6,gexf
R-MAT.500.10.6.gexf,10,90.0,1,R-MAT,500,10,6,gexf
