path	k	max.multirute.flow	iterations	k.0	n	max.c	ex	k.4
319	Complete.1000.20.8.gexf	10	10101	1	Complete	1000	20	8	gexf
320	Complete.1000.20.8.gexf	50	10101	1	Complete	1000	20	8	gexf
321	Complete.50.1.9.gexf	2	22.8164824696437	1	Complete	50	1	9	gexf
322	Complete.50.1.9.gexf	3	22.8164824696437	1	Complete	50	1	9	gexf
323	Complete.50.1.9.gexf	5	22.8164824696437	1	Complete	50	1	9	gexf
324	Complete.50.1.9.gexf	10	22.8164824696437	1	Complete	50	1	9	gexf
326	Complete.50.20.9.gexf	2	473	1	Complete	50	20	9	gexf
327	Complete.50.20.9.gexf	3	473	1	Complete	50	20	9	gexf
328	Complete.50.20.9.gexf	5	473	1	Complete	50	20	9	gexf
329	Complete.50.20.9.gexf	10	473	1	Complete	50	20	9	gexf
331	Complete.100.1.9.gexf	2	44.3517092334302	1	Complete	100	1	9	gexf
332	Complete.100.1.9.gexf	3	44.3517092334302	1	Complete	100	1	9	gexf
333	Complete.100.1.9.gexf	5	44.3517092334302	1	Complete	100	1	9	gexf
334	Complete.100.1.9.gexf	10	44.3517092334302	1	Complete	100	1	9	gexf
335	Complete.100.1.9.gexf	50	43.7148738398021	7	Complete	100	1	9	gexf
336	Complete.100.20.9.gexf	2	1001	1	Complete	100	20	9	gexf
337	Complete.100.20.9.gexf	3	1001	1	Complete	100	20	9	gexf
338	Complete.100.20.9.gexf	5	1001	1	Complete	100	20	9	gexf
339	Complete.100.20.9.gexf	10	1001	1	Complete	100	20	9	gexf
340	Complete.100.20.9.gexf	50	1001	14	Complete	100	20	9	gexf
341	Complete.500.1.9.gexf	2	251.54505534382	1	Complete	500	1	9	gexf
342	Complete.500.1.9.gexf	3	251.54505534382	1	Complete	500	1	9	gexf
343	Complete.500.1.9.gexf	5	251.54505534382	1	Complete	500	1	9	gexf
344	Complete.500.1.9.gexf	10	251.54505534382	1	Complete	500	1	9	gexf
345	Complete.500.1.9.gexf	50	251.54505534382	1	Complete	500	1	9	gexf
346	Complete.500.20.9.gexf	2	4912	1	Complete	500	20	9	gexf
347	Complete.500.20.9.gexf	3	4912	1	Complete	500	20	9	gexf
348	Complete.500.20.9.gexf	5	4912	1	Complete	500	20	9	gexf
349	Complete.500.20.9.gexf	10	4912	1	Complete	500	20	9	gexf
350	Complete.500.20.9.gexf	50	4912	1	Complete	500	20	9	gexf
351	Complete.1000.1.9.gexf	2	499.654704921439	1	Complete	1000	1	9	gexf
352	Complete.1000.1.9.gexf	3	499.654704921439	1	Complete	1000	1	9	gexf
353	Complete.1000.1.9.gexf	5	499.654704921439	1	Complete	1000	1	9	gexf
354	Complete.1000.1.9.gexf	10	499.654704921439	1	Complete	1000	1	9	gexf
355	Complete.1000.1.9.gexf	50	499.654704921439	1	Complete	1000	1	9	gexf
356	Complete.1000.20.9.gexf	2	10039	1	Complete	1000	20	9	gexf
357	Complete.1000.20.9.gexf	3	10039	1	Complete	1000	20	9	gexf
358	Complete.1000.20.9.gexf	5	10039	1	Complete	1000	20	9	gexf
359	Complete.1000.20.9.gexf	10	10039	1	Complete	1000	20	9	gexf
360	Complete.1000.20.9.gexf	50	10039	1	Complete	1000	20	9	gexf
361	Complete.50.1.10.gexf	2	21.2302146677367	1	Complete	50	1	10	gexf
362	Complete.50.1.10.gexf	3	21.2302146677367	1	Complete	50	1	10	gexf
363	Complete.50.1.10.gexf	5	21.2302146677367	1	Complete	50	1	10	gexf
364	Complete.50.1.10.gexf	10	21.2302146677367	1	Complete	50	1	10	gexf
366	Complete.50.20.10.gexf	2	426	1	Complete	50	20	10	gexf
367	Complete.50.20.10.gexf	3	426	1	Complete	50	20	10	gexf
