path	k	max.multirute.flow	iterations	k.0	k.1	n	multiple	ex	k.5	small_1	constant1	uni_2	constant2	best.constant	best.alg
141	Rand.Uni.100.10.3.gexf	2	11.2444254642564	1	Rand	Uni	100	10	3	gexf	9.32502245826235	1.2058336067913	9.32502245826235	1.2058336067913	1.2058336067913	NA
142	Rand.Uni.100.10.3.gexf	3	11.2444254642564	1	Rand	Uni	100	10	3	gexf	8.39308627465555	1.33972475634034	8.39308627465555	1.33972475634034	1.33972475634034	NA
143	Rand.Uni.100.10.3.gexf	5	11.2444254642564	1	Rand	Uni	100	10	3	gexf	6.85337442173032	1.64071372324313	6.85337442173032	1.64071372324313	1.64071372324313	NA
144	Rand.Uni.100.10.3.gexf	10	11.2444254642564	1	Rand	Uni	100	10	3	gexf	3.31082792508218	3.39625789038169	3.31082792508218	3.39625789038169	3.39625789038169	NA
146	Rand.Uni.100.25.3.gexf	2	13.85727176148	1	Rand	Uni	100	25	3	gexf	12.0585749877797	1.14916329462836	12.0585749877797	1.14916329462835	1.14916329462836	NA
147	Rand.Uni.100.25.3.gexf	3	13.85727176148	1	Rand	Uni	100	25	3	gexf	11.2695684078431	1.22961867393573	11.2695684078431	1.22961867393573	1.22961867393573	NA
148	Rand.Uni.100.25.3.gexf	5	13.85727176148	1	Rand	Uni	100	25	3	gexf	9.80541978731627	1.41322575290504	9.80541978731627	1.41322575290504	1.41322575290504	NA
149	Rand.Uni.100.25.3.gexf	10	13.85727176148	2	Rand	Uni	100	25	3	gexf	6.72568699451759	2.06035038097606	6.72568699451759	2.06035038097606	2.06035038097606	NA
151	Rand.Uni.500.5.3.gexf	2	3.61924521831373	1	Rand	Uni	500	5	3	gexf	1.95785056149858	1.84858093333921	1.95785056149858	1.84858093333921	1.84858093333921	NA
152	Rand.Uni.500.5.3.gexf	3	3.57874775220514	2	Rand	Uni	500	5	3	gexf	1.54304556514572	2.31927548546966	1.51357071232024	2.36444040775542	2.36444040775542	2
153	Rand.Uni.500.5.3.gexf	5	2.93677584224787	3	Rand	Uni	500	5	3	gexf	0.789562640133718	3.71949696321815	0.693181424394049	4.23666263823367	4.23666263823367	2
156	Rand.Uni.500.10.3.gexf	2	8.51857576191261	1	Rand	Uni	500	10	3	gexf	6.7131536434581	1.26893800057948	7.69211972019796	1.10744191091365	1.26893800057948	NA
157	Rand.Uni.500.10.3.gexf	3	8.51857576191261	1	Rand	Uni	500	10	3	gexf	5.95710554284433	1.42998570373579	7.63812807277118	1.11527008721942	1.42998570373579	NA
158	Rand.Uni.500.10.3.gexf	5	8.51857576191261	1	Rand	Uni	500	10	3	gexf	4.62733568345069	1.84092452863937	5.99477033180178	1.42100118777232	1.84092452863937	NA
159	Rand.Uni.500.10.3.gexf	10	8.19102012141096	4	Rand	Uni	500	10	3	gexf	1.78400922253349	4.59135525643685	2.63236228912689	3.11166139829779	4.59135525643685	NA
161	Rand.Uni.500.25.3.gexf	2	19.4529879860461	1	Rand	Uni	500	25	3	gexf	17.5322296418421	1.1095558513345	17.5322296418422	1.1095558513345	1.1095558513345	NA
